2MASS,more,RAJ2000,DEJ2000,YSO,Teff,log(g),SimbadName
2M03475558+2327542,*,56.98161316,23.46507454,0,6380.0,4.21,2MASS J03475558+2327542
2M03475942+3059289,*,56.99762344,30.99138451,0,5630.0,4.09,2MASS J03475942+3059289
2M03475973+2443528,*,56.99889374,24.73134232,3,4520.0,4.77,2MASS J03475973+2443528
2M03480046+2248235,*,57.00193024,22.80653191,0,6930.0,4.93,2MASS J03480046+2248235
2M03480048+3207463,*,57.00202179,32.12953949,3,3380.0,3.91,2MASS J03480048+3207463
2M03480118+3212120,*,57.00493622,32.20333481,0,7020.0,5.9,2MASS J03480118+3212120
2M03480522+3201073,*,57.02178192,32.01870346,0,5480.0,4.0,2MASS J03480522+3201073
2M03480565+3207171,*,57.02357864,32.12144089,0,5350.0,4.58,2MASS J03480565+3207171
2M03480581+2302030,*,57.02423859,23.03418159,3,3810.0,5.37,2MASS J03480581+2302030
2M03480718+2408315,*,57.02994919,24.14209938,0,6350.0,5.17,2MASS J03480718+2408315
2M03480767+2518552,*,57.03197479,25.31534767,3,4400.0,4.81,2MASS J03480767+2518552
2M03480796+2344238,*,57.03318787,23.73994637,3,3150.0,5.33,2MASS J03480796+2344238
2M03480813+3131131,*,57.03388214,31.52031708,0,4920.0,3.66,2MASS J03480813+3131131
2M03480881+2501458,*,57.03671265,25.02939224,3,4040.0,5.26,2MASS J03480881+2501458
2M03481017+2300041,*,57.04240036,23.00114441,3,4380.0,5.09,2MASS J03481017+2300041
2M03481098+2330253,*,57.04576492,23.50703812,3,4320.0,5.11,2MASS J03481098+2330253
2M03481149+3054134,*,57.04789734,30.90373421,0,3160.0,4.99,2MASS J03481149+3054134
2M03481340+3106580,*,57.05586624,31.11612511,0,6120.0,4.74,2MASS J03481340+3106580
2M03481354+2419063,*,57.05644989,24.31842804,0,6760.0,4.41,2MASS J03481354+2419063
2M03481377+2337596,*,57.05738449,23.63322449,3,3220.0,5.24,2MASS J03481377+2337596
2M03481526+2342036,*,57.06361008,23.70100594,3,3080.0,5.3,2MASS J03481526+2342036
2M03481575+3134533,*,57.06564331,31.58148956,0,5280.0,4.01,2MASS J03481575+3134533
2M03481686+2512546,*,57.07026672,25.21516991,0,6510.0,4.96,2MASS J03481686+2512546
