2MASS,more,RAJ2000,DEJ2000,YSO,Teff,log(g),SimbadName,coords
2M05474883+1012589,*,86.95346069,10.21636391,0,6910.0,5.32,2MASS J05474883+1012589,05h47m48.8306s +10d12m58.9101s
2M05475119+0744505,*,86.96331787,7.74738598,0,5360.0,3.95,2MASS J05475119+0744505,05h47m51.1963s +07d44m50.5895s
2M05475178+0943128,*,86.96576691,9.72023964,0,5490.0,4.13,2MASS J05475178+0943128,05h47m51.7841s +09d43m12.8627s
2M05475277-0104109,*,86.96990967,-1.069695,0,4800.0,3.76,2MASS J05475277-0104109,05h47m52.7783s -01d04m10.902s
2M05475306-0055178,*,86.97109985,-0.92161399,0,4370.0,3.23,2MASS J05475306-0055178,05h47m53.064s -00d55m17.8104s
2M05475318+0756146,*,86.97158813,7.93738985,0,5370.0,3.96,2MASS J05475318+0756146,05h47m53.1812s +07d56m14.6035s
2M05475370+0828160,*,86.97376251,8.47111988,0,4720.0,3.62,2MASS J05475370+0828160,05h47m53.703s +08d28m16.0316s
2M05475401+0740328,*,86.97507477,7.67580414,0,4840.0,3.93,2MASS J05475401+0740328,05h47m54.0179s +07d40m32.8949s
2M05475444+0037283,*,86.97686768,0.624542,0,5290.0,3.95,2MASS J05475444+0037283,05h47m54.4482s +00d37m28.3512s
2M05475460+0816541,*,86.97750854,8.28170776,0,4860.0,3.9,2MASS J05475460+0816541,05h47m54.602s +08d16m54.1479s
2M05475528+0941037,*,86.98036957,9.68437576,0,5340.0,3.95,2MASS J05475528+0941037,05h47m55.2887s +09d41m03.7527s
2M05475545+0104428,*,86.98105621,1.07856595,0,4140.0,2.7,2MASS J05475545+0104428,05h47m55.4535s +01d04m42.8374s
2M05475562-0041595,*,86.98175049,-0.699866,0,5900.0,5.06,2MASS J05475562-0041595,05h47m55.6201s -00d41m59.5176s
2M05475574-0053553,*,86.98225403,-0.89871299,0,4570.0,3.6,2MASS J05475574-0053553,05h47m55.741s -00d53m55.3668s
2M05475587-0055557,*,86.98282623,-0.93216199,0,6380.0,5.64,2MASS J05475587-0055557,05h47m55.8783s -00d55m55.7832s
2M05475634+0944127,*,86.98474884,9.73688602,2,3820.0,4.71,2MASS J05475634+0944127,05h47m56.3397s +09d44m12.7897s
2M05475639+0046142,*,86.98497772,0.77061897,0,4460.0,3.35,2MASS J05475639+0046142,05h47m56.3947s +00d46m14.2283s
2M05475640+0039338,*,86.98503113,0.65940201,0,5440.0,3.99,2MASS J05475640+0039338,05h47m56.4075s +00d39m33.8472s
2M05475650+0912439,*,86.98543549,9.21221447,0,5790.0,4.57,2MASS J05475650+0912439,05h47m56.5045s +09d12m43.9721s
2M05475766-0100207,*,86.99025726,-1.00576997,3,4910.0,5.11,2MASS J05475766-0100207,05h47m57.6617s -01d00m20.7719s
2M05475770+0912506,*,86.99042511,9.21406555,0,5390.0,3.93,2MASS J05475770+0912506,05h47m57.702s +09d12m50.636s
2M05475771+1015022,*,86.99047089,10.25063419,0,5820.0,4.56,2MASS J05475771+1015022,05h47m57.713s +10d15m02.2831s
2M05475775-0025429,*,86.99064636,-0.42858499,0,5080.0,3.9,2MASS J05475775-0025429,05h47m57.7551s -00d25m42.906s
2M05475822+0803293,*,86.99259949,8.0581398,0,4540.0,3.47,2MASS J05475822+0803293,05h47m58.2239s +08d03m29.3033s
2M05475879+0054007,*,86.99499512,0.90019602,0,5280.0,3.91,2MASS J05475879+0054007,05h47m58.7988s +00d54m00.7057s
2M05475908+0800503,*,86.99617004,8.013978,0,5190.0,4.1,2MASS J05475908+0800503,05h47m59.0808s +08d00m50.3208s
2M05475987+0836506,*,86.99949646,8.6140604,0,5790.0,4.67,2MASS J05475987+0836506,05h47m59.8792s +08d36m50.6174s
2M05480038+0746191,*,87.00158691,7.77199316,0,5400.0,4.19,2MASS J05480038+0746191,05h48m00.3809s +07d46m19.1754s
2M05480091+0040465,*,87.00382996,0.67958498,0,4250.0,2.93,2MASS J05480091+0040465,05h48m00.9192s +00d40m46.5059s
2M05480106+0034302,*,87.00443268,0.575082,2,4140.0,4.18,2MASS J05480106+0034302,05h48m01.0638s +00d34m30.2952s
2M05480206-0102071,*,87.0085907,-1.03531599,0,4280.0,4.95,2MASS J05480206-0102071,05h48m02.0618s -01d02m07.1376s
2M05480291+0850449,*,87.01213837,8.84581661,0,5100.0,3.91,2MASS J05480291+0850449,05h48m02.9132s +08d50m44.9398s
2M05480297-0028336,*,87.01241302,-0.47602201,3,5420.0,4.73,2MASS J05480297-0028336,05h48m02.9791s -00d28m33.6792s
2M05480298-0117031,*,87.01242828,-1.28420496,0,5080.0,3.84,2MASS J05480298-0117031,05h48m02.9828s -01d17m03.1379s
2M05480367+0014353,*,87.01533508,0.24315301,0,5440.0,3.92,2MASS J05480367+0014353,05h48m03.6804s +00d14m35.3508s
2M05480387+0837549,*,87.01613617,8.63193798,0,5270.0,3.91,2MASS J05480387+0837549,05h48m03.8727s +08d37m54.9767s
2M05480399+0003412,*,87.0166626,0.061465,0,3330.0,1.22,2MASS J05480399+0003412,05h48m03.999s +00d03m41.274s
2M05480432+0800025,*,87.01802826,8.0007019,0,4650.0,3.54,2MASS J05480432+0800025,05h48m04.3268s +08d00m02.5268s
2M05480511+0922286,*,87.02131653,9.37461376,0,5580.0,4.34,2MASS J05480511+0922286,05h48m05.116s +09d22m28.6095s
2M05480544+0734547,*,87.02267456,7.58187818,0,5340.0,4.0,2MASS J05480544+0734547,05h48m05.4419s +07d34m54.7614s
2M05480545+0835306,*,87.0227356,8.59185791,2,4130.0,4.56,2MASS J05480545+0835306,05h48m05.4565s +08d35m30.6885s
2M05480722+0033588,*,87.03012085,0.56635499,2,3140.0,2.9,2MASS J05480722+0033588,05h48m07.229s +00d33m58.878s
2M05480727+0953535,*,87.03031921,9.89821625,0,5320.0,4.05,2MASS J05480727+0953535,05h48m07.2766s +09d53m53.5785s
2M05480864-0059341,*,87.03601074,-0.99282098,0,5480.0,5.23,2MASS J05480864-0059341,05h48m08.6426s -00d59m34.1555s
2M05481030+0823132,*,87.04293823,8.38701153,0,5670.0,3.93,2MASS J05481030+0823132,05h48m10.3052s +08d23m13.2415s
2M05481070+0746543,*,87.04458618,7.78177404,0,5150.0,3.89,2MASS J05481070+0746543,05h48m10.7007s +07d46m54.3865s
2M05481188-0021575,*,87.04953766,-0.365987,3,3930.0,3.42,2MASS J05481188-0021575,05h48m11.889s -00d21m57.5532s
2M05481437-0046524,*,87.05991364,-0.78124899,0,5540.0,3.96,2MASS J05481437-0046524,05h48m14.3793s -00d46m52.4964s
