,Unnamed: 0,Unnamed: 1,YSO,Nepochs,Teff,log(g) (cm/s2),veil,SB2,p,p_error,paper,q,q_err,Max (Jy/bm),x,x_err,y,y_err,Flux (Jy),Flux_err,Disk Mass (Mjup),Disk Mass err,J,J_err,H,H_err,K,K_err,W1,W1_err,W2,W2_err,W3,W3_err,W4,W4_err,[3.6],e[3.6],[4.5],e[4.5],[5.8],e[5.8],[8.0],e[8.0],[24],e[24],alpha,YSO.1,HCO+
69,81,05 33 35.714 -05 09 23.5,,,4000.0,,,,2.567,0.044,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00067,-10.0,0.687,-10.0,12.497,0.021,11.684,0.022,11.409,0.019,11.267,0.024,11.106,0.022,,,,,,,,,,,,,,,,,
70,82,05 33 36.441 -04 49 49.02,,,3750.0,,,,2.58,0.047,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00075,-10.0,0.761,-10.0,12.982,0.021,12.364,0.022,12.125,0.024,11.984,0.025,11.75,0.022,,,,,,,,,,,,,,,,,
71,83,05 34 27.836 -05 43 31.52,3.0,5.0,3560.0,4.42,0.434,1.0,2.897,0.035,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00068,-10.0,0.547,-10.0,12.636,0.021,11.99,0.033,11.745,0.016,11.64,0.026,11.482,0.034,,,,,,,,,,,,,,,,,
72,84,05 34 28.52 -05 24 57.96,2.0,1.0,4340.0,4.47,0.404,1.0,2.461,0.016,K16,1.0,-10.0,0.00247,0.103,0.001,0.0453,0.001,0.02469,7e-05,27.55,0.37,11.144,0.017,10.34,0.029,9.948,0.016,9.2,0.023,8.705,0.021,6.65,0.041,,,9.31,0.01,9.01,0.01,8.59,0.01,7.98,0.02,5.21,0.02,-1.29,D,yes
73,85,05 34 35.681 -05 35 52.09,,,4200.0,,,,2.618,0.048,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00067,-10.0,0.66,-10.0,13.35,0.021,12.658,0.032,12.415,0.02,12.318,0.025,12.352,0.033,,,,,,,,,,,,,,,,,
74,86,05 34 49.98 -05 18 44.64,,,,,,,2.562,0.017,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00067,-10.0,0.689,-10.0,8.776,0.015,7.997,0.035,7.303,0.015,6.134,0.096,5.334,0.062,4.001,0.02,,,6.02,0.01,5.52,0.01,5.1,0.01,4.44,0.01,2.79,0.01,-1.03,D,
75,88,05 34 52.339 -05 30 08.01,3.0,5.0,3150.0,4.61,0.108,1.0,2.489,0.068,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00072,-10.0,0.785,-10.0,13.017,0.02,12.399,0.028,12.126,0.017,12.053,0.094,11.721,0.1,,,,,,,,,,,,,,,,,
76,89,05 34 53.12 -05 47 42.5,,,5000.0,,,,2.784,0.086,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000705,-10.0,0.614,-10.0,14.03,0.021,13.378,0.039,13.163,0.029,12.93,0.034,13.435,0.104,,,,,,,,,,,,,,,,,
77,90,05 34 57.452 -05 30 42.02,3.0,3.0,3990.0,4.24,0.174,1.0,2.469,0.057,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00071,-10.0,0.787,-10.0,12.736,0.02,11.994,0.03,11.764,0.019,11.874,0.072,,,,,,,,,,,,,,,,,,,
78,91,05 35 02.497 -05 33 09.95,2.0,4.0,3960.0,4.2,0.527,1.0,2.537,0.051,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.0007,-10.0,0.735,-10.0,12.089,0.021,11.319,0.032,10.999,0.021,9.893,0.027,9.484,0.024,5.442,0.028,,,10.16,0.01,9.81,0.01,9.28,0.04,8.61,0.05,5.69,0.04,-1.02,D,
79,92,05 35 02.84 -05 51 03.1,,,3700.0,,,,2.627,0.033,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00071,-10.0,0.695,-10.0,12.778,0.021,12.05,0.031,11.847,0.019,11.69,0.036,11.687,0.037,,,,,,,,,,,,,,,,,
80,93,05 35 03.036 -04 59 59.8,3.0,4.0,3210.0,4.72,0.255,1.0,2.559,0.038,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000745,-10.0,0.768,-10.0,12.611,0.024,11.952,0.04,11.721,0.028,11.569,0.05,11.407,0.055,,,,,,,,,,,,,,,,,
81,95,05 35 05.63 -05 25 19.52*,2.0,2.0,4640.0,4.4,1.02,1.0,2.547,0.02,K16,1.0,-10.0,0.0048,0.484,0.007,-0.322,0.005,0.004847,7e-05,5.05,0.11,8.993,0.023,8.11,0.053,7.434,0.021,,,,,,,,,6.69,0.01,6.02,0.01,5.37,0.01,4.35,0.01,,,-0.16,D,
82,97,05 35 06.59 -05 59 51.4,,,,,,,2.483,0.073,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.0007,-10.0,0.767,-10.0,13.493,0.019,12.894,0.035,12.639,0.024,12.258,0.026,12.092,0.024,,,,,,,,,,,,,,,,,
